Dual,AWS_ID,Type,Date,Time,Min_Since,Latitude,Longitude,Temperature,Humidity,Pressure,Sea_Temp,Wind_Direction,Wind_Speed,Gust,COG,SOG,Wave_Height,Wave_Period,Visibility
D,62047,3,220526,200,2,499083,-28942,140,903,102257,1262,1325,479,64,0,57,,,12841
D,62047,3,220526,300,2,499082,-28945,140,906,102242,1263,1334,479,69,0,65,,,12206
D,62047,3,220526,400,2,499080,-28950,140,904,102273,1268,1526,479,61,0,39,,,13067
D,62045,3,220526,300,2,499082,-28945,140,906,102232,1263,1408,496,68,0,66,,,11551
D,62045,3,220526,400,2,499080,-28950,140,901,102266,1268,1345,479,57,0,41,,,12851
D,62047,3,220526,500,2,499078,-28957,138,911,102294,1259,1632,507,61,0,36,,,13681
D,62045,3,220526,500,2,499078,-28957,138,905,102286,1260,1444,480,58,0,39,,,13376
D,62047,3,220526,600,2,499077,-28957,143,879,102298,1262,1720,499,68,0,47,,,16846
D,62045,3,220526,600,2,499077,-28957,141,887,102288,1262,1575,428,56,0,44,,,15618
D,62045,3,220526,700,2,499077,-28956,137,910,102313,1264,1649,340,43,0,46,,,13151
D,62045,3,220526,800,2,499078,-28954,140,896,102362,1258,1935,290,49,0,56,,,11821
D,62047,3,220526,700,2,499078,-28956,141,885,102325,1265,1791,381,51,0,47,,,15157
D,62047,3,220526,800,2,499078,-28954,136,914,102368,1258,1830,262,46,0,59,,,12591
D,62047,3,220526,900,2,499079,-28951,135,916,102358,1263,2104,227,47,0,79,,,10029
D,62045,3,220526,900,2,499079,-28951,137,913,102353,1266,2118,229,47,0,80,,,12704
D,62047,3,220526,1000,2,499081,-28946,119,970,102380,1291,3103,386,54,0,51,,,509
D,62045,3,220526,1100,2,499082,-28944,117,981,102376,1310,3103,359,48,0,67,,,180
D,62045,3,220526,1000,2,499081,-28946,119,973,102373,1287,2989,415,55,0,51,,,256
D,62047,3,220526,1100,2,499082,-28944,117,979,102384,1315,3233,360,46,0,66,,,282
D,62047,3,220526,1200,2,499083,-28944,118,981,102383,1338,3358,311,44,0,58,,,1072
D,62045,3,220526,1200,2,499083,-28944,117,983,102372,1331,3234,279,40,0,57,,,585
D,62047,3,220526,1300,2,499082,-28944,124,971,102353,1334,62,194,39,0,62,,,2052
D,62045,3,220526,1300,2,499082,-28944,121,983,102340,1319,48,211,36,0,59,,,1333
D,62047,3,220526,1400,2,499082,-28945,131,953,102335,1354,155,254,46,0,46,,,27927
D,62047,3,220526,1500,2,499081,-28946,132,957,102347,1362,35,412,58,0,45,,,12584
D,62045,3,220526,1500,2,499081,-28946,134,967,102344,1364,94,421,59,0,45,,,23628
D,62047,3,220526,1600,2,499080,-28950,136,956,102339,1374,139,363,54,0,53,,,14387
D,62045,3,220526,1700,2,499078,-28956,143,928,102338,1346,75,482,60,3255,26,,,24236
D,62047,3,220526,1700,2,499078,-28956,139,947,102337,1353,3562,393,50,0,26,,,20381
D,62045,3,220526,1600,2,499080,-28950,138,951,102338,1372,153,337,58,0,52,,,22142
D,62047,3,220526,1800,2,499077,-28956,142,940,102298,1372,138,374,51,0,29,,,12307
D,62045,3,220526,1800,2,499077,-28956,143,939,102292,1366,134,376,58,131,30,,,18278
D,62047,3,220526,2000,2,499077,-28954,141,943,102303,1300,441,325,51,0,25,,,9657
D,62047,3,220526,1900,2,499077,-28955,143,948,102298,1361,198,351,52,0,38,,,11966
D,62045,3,220526,1900,2,499077,-28955,143,947,102291,1365,160,191,45,0,36,,,11106
D,62045,3,220526,2100,2,499078,-28952,142,911,102318,1287,616,303,53,0,52,,,10781
D,62047,3,220526,2100,2,499078,-28952,141,921,102325,1286,667,260,56,0,52,,,11072
D,62045,3,220526,2000,2,499077,-28954,141,939,102296,1297,444,221,44,0,27,,,8304
D,62047,3,220526,2300,2,499082,-28945,142,905,102238,1320,1159,344,61,0,46,,,14834
D,62045,3,220526,2300,2,499082,-28945,142,908,102230,1315,1328,320,50,0,46,,,13247
D,62045,3,220526,2200,2,499080,-28948,144,907,102258,1297,899,397,58,0,58,,,11511
D,62047,3,220526,2200,2,499080,-28948,144,906,102266,1297,798,345,57,0,61,,,12264
D,62047,3,230526,000,2,499082,-28944,144,897,102262,1312,1569,277,36,0,35,,,15862
D,62047,3,230526,200,2,499082,-28944,137,886,102410,1298,3258,398,51,0,72,,,18410
D,62045,3,230526,200,2,499082,-28944,137,881,102403,1297,3130,412,56,0,73,,,16983
D,62045,3,230526,100,2,499082,-28943,137,932,102397,1290,2967,791,98,0,68,,,9182
D,62047,3,230526,100,2,499082,-28943,137,933,102403,1290,3090,734,90,0,67,,,9132
D,62047,3,230526,300,2,499081,-28945,133,915,102469,1288,2917,294,51,0,64,,,16903
D,62045,3,230526,300,2,499081,-28945,133,912,102461,1288,2860,309,48,0,63,,,14651
D,62047,3,230526,500,2,499078,-28952,134,934,102585,1268,3296,468,56,0,57,,,10064
D,62047,3,230526,400,2,499080,-28947,133,940,102513,1288,3127,366,54,0,40,,,10730
D,62045,3,230526,400,2,499080,-28947,133,939,102505,1288,3184,356,55,0,41,,,9341
D,62045,3,230526,500,2,499078,-28952,134,933,102581,1268,3458,516,62,0,57,,,8595
D,62047,3,230526,600,2,499077,-28955,134,933,102621,1274,3528,372,46,0,37,,,15258
D,62045,3,230526,600,2,499077,-28956,136,920,102617,1273,35,451,56,0,38,,,13845
D,62047,3,230526,700,2,499076,-28955,133,936,102659,1305,3426,454,56,0,44,,,18095
D,62047,3,230526,800,2,499077,-28954,132,938,102731,1276,3441,440,54,0,47,,,19437
D,62045,3,230526,700,2,499076,-28955,137,915,102658,1305,3536,569,67,0,41,,,16203
D,62045,3,230526,800,2,499077,-28954,136,918,102732,1277,3546,546,64,0,43,,,14022
D,62047,3,230526,900,2,499077,-28952,131,936,102789,1270,3410,476,65,0,46,,,20365
D,62045,3,230526,900,2,499077,-28952,133,920,102787,1267,3447,500,72,0,45,,,21681
D,62047,3,230526,1100,2,499079,-28948,134,930,102830,1302,3514,380,53,0,36,,,27395
D,62045,3,230526,1000,2,499078,-28951,132,928,102821,1279,3370,370,51,0,40,,,17325
D,62047,3,230526,1000,2,499078,-28951,132,934,102830,1281,3415,341,55,0,42,,,17085
D,62045,3,230526,1100,2,499079,-28948,132,938,102822,1301,3383,344,46,0,38,,,17742
D,62045,3,230526,1200,2,499081,-28944,135,931,102822,1324,3260,285,37,0,54,,,17945
D,62047,3,230526,1200,2,499081,-28944,136,925,102831,1326,3383,297,46,0,51,,,29104
D,62047,3,230526,1300,2,499082,-28945,144,891,102846,1364,3479,165,29,0,58,,,20057
D,62045,3,230526,1400,2,499082,-28945,142,909,102846,1377,3197,263,35,0,34,,,16308
D,62045,3,230526,1300,2,499082,-28944,139,915,102832,1358,3467,153,24,0,56,,,14183
D,62047,3,230526,1400,2,499081,-28945,144,902,102864,1391,3323,270,43,0,34,,,24524
D,62047,3,230526,1500,2,499081,-28945,151,877,102847,1357,3425,214,32,0,57,,,31494
D,62045,3,230526,1500,2,499081,-28945,147,890,102835,1352,3322,203,26,0,57,,,21127
D,62047,3,230526,1600,2,499081,-28946,150,898,102854,1380,2985,183,32,0,57,,,28186
D,62045,3,230526,1600,2,499081,-28946,150,895,102848,1368,2917,172,30,0,55,,,25315
D,62047,3,230526,1700,2,499080,-28949,152,897,102838,1420,2523,134,30,0,66,,,18862
D,62045,3,230526,1700,2,499080,-28949,153,890,102830,1397,2569,175,31,0,61,,,26030
D,62045,3,230526,1900,2,499077,-28955,152,911,102821,1377,2913,161,26,0,41,,,22418
D,62047,3,230526,1800,2,499078,-28954,151,903,102838,1364,2733,134,27,0,35,,,29777
D,62045,3,230526,1800,2,499078,-28954,154,891,102828,1330,2774,166,24,0,36,,,28277
D,62047,3,230526,2000,2,499077,-28954,146,948,102855,1411,3112,183,28,0,29,,,18488
D,62045,3,230526,2000,2,499077,-28954,146,944,102848,1401,3253,205,29,0,26,,,14706
D,62047,3,230526,1900,2,499077,-28955,150,926,102829,1404,2822,151,28,0,44,,,21482
D,62047,3,230526,2100,2,499077,-28954,145,955,102887,1425,3142,200,30,0,29,,,22390
D,62045,3,230526,2100,2,499077,-28954,144,955,102881,1423,3272,219,31,0,31,,,15814
D,62047,3,230526,2200,2,499078,-28952,144,951,102888,1401,3318,163,28,0,42,,,23942
D,62045,3,230526,2200,2,499078,-28952,144,954,102881,1389,3311,156,27,0,44,,,15224
D,62045,3,230526,2300,2,499079,-28950,143,954,102865,1372,3159,192,30,0,50,,,16413
